OBJECTID,STATIONID,SEGKEY,SEG_UNITDESC,DETECTORNAME,ROADWAY,x,y
152933,22220,490909,I5 NB BETWEEN SWIFT AV OFF RP AND CORSON AV S OFF RP,Swift Ave-NB - single,I-5,1275996.06064661,202913.844719857
152934,22207,493061,SR520 EB BETWEEN I5 NB SR520 EB ON RP AND MONTLAKE BV OFF RP,10th Ave E - single,SR-520,1274202.10877192,237935.816178396
152935,22135,492183,I5 SB BETWEEN I5 EXPRESS AND I5 NB 1ST AV NE OFF RP,Northgate-NB,I-5,1272482.6219714,263653.457492352
152936,22084,490904,I5 SB BETWEEN I5 SB EXIT 158 OFF RP AND S BOEING ACCESS RD OFF RP,Boeing Access-NB - single,I-5,1283113.25646797,187309.922925785
152937,21725,491952,I5 EXPRESS BETWEEN RAVENNA BV I5 EXPRESS RP AND I5 EXPRESS LAKE CITY RP,NE 63rd,I-5,1273931.98258974,249469.782611728
152938,22298,491024,COLUMBIAN WY - I5 SB RP BETWEEN S COLUMBIAN WB WAY AND I5 SB,Columbian Way-SB - single,I-5,1273176.12329109,210374.245235369
152939,22305,492230,I5 NB BETWEEN 130TH ST OFF RP AND 145TH ST OFF RP,NE 130th St-SB - single,I-5,1273533.56967266,267062.522196516
152940,21781,493045,I90 EB BETWEEN I90 EB TUNNEL E AND MID CHANNEL,Midspan EB - single,I-90,1286412.34107713,218404.558078915
152941,22267,491887,RAVENNA BV ON RP BETWEEN RAVENNA BV I5 EXPRESS RP AND NE RAVENNA EB BV,Ravenna Blvd-SB - single,I-5,1273663.08630994,248307.513774857
152942,21733,491098,I5 NB BETWEEN I5 NB - W SEATTLE BR RP AND W SEATTLE BR - I5 NB RP,Columbian Way-NB - single,I-5,1273451.13422401,211828.262176409
152943,22445,490887,I5 NB BETWEEN I5 NB EXIT 156 ON RP AND M L KING JR WY S OFF RP,MLK Jr Way-NB - single,I-5,1285283.59702557,184387.125293702
152944,22664,492988,I90 EXPRESS RP BETWEEN SEATTLE BLVD S AND I90 EXPRESS TUNNEL,S Norman,I-90,1275578.37324379,219740.626600996
152945,22374,491952,I5 EXPRESS BETWEEN RAVENNA BV I5 EXPRESS RP AND I5 EXPRESS LAKE CITY RP,NE 63rd - single,I-5,1273931.98258974,249469.782611728
152946,22524,491819,I5 NB BETWEEN NE 45TH ST OFF RP AND NE 45TH ST ON RP,NE 42nd - single,I-5,1273578.41825421,243931.143344536
152947,22131,493122,SR520 EB BETWEEN LK WASH BV ON RP AND MID CHANNEL,Midspan - single,SR-520,1288483.81331213,236935.792341828
152948,22097,491808,I5 NB BETWEEN HAMLIN ST ON RP AND NE 45TH ST OFF RP,Ship Canal Br - single,I-5,1273543.84565276,242144.125921205
152949,22662,491098,I5 NB BETWEEN I5 NB - W SEATTLE BR RP AND W SEATTLE BR - I5 NB RP,S Spokane,I-5,1273443.38325526,211427.09581995
152950,22118,490891,I5 SB BETWEEN I5 SB EXIT 156 OFF RP AND I5 SB EXIT 158 ON RP,S 129th,I-5,1286466.48918077,181519.417364433
152951,21768,492939,I5 SB COLLECTOR BETWEEN NORTHGATE I5 SB ON RP AND I5 SB NORTHGATE OFF RP,NE 107th St-SB - single,I-5,1271974.03949119,262824.221535996
152952,22222,11279,LAKEVIEW BLVD E BETWEEN E HIGHLAND DR AND BOYLSTON S AVE E,E Galer - single,I-5,1272894.17298557,234057.391766623
152953,22525,491878,I5 EXPRESS BETWEEN I5 EXPRESS NE 42 RP AND RAVENNA BV I5 EXPRESS RP,NE 50th St-SB,I-5,1273608.0519712,245462.872974649
152954,22601,493088,MONTLAKE BV EB ON RP BETWEEN MONTLAKE BLVD E AND SR520 EB,Montlake Blvd-EB,SR-520,1278403.90442015,238475.369315162
152955,21717,491808,I5 NB BETWEEN HAMLIN ST ON RP AND NE 45TH ST OFF RP,Ship Canal Br - single,I-5,1273543.84565276,242144.125921205
152956,22239,491748,I5 SB BETWEEN BOYLSTON AV E OFF RP AND I5 SB SR520 EB ON RP,E Hamlin - single,I-5,1273241.65506619,239267.786529541
152957,22526,492988,I90 EXPRESS RP BETWEEN SEATTLE BLVD S AND I90 EXPRESS TUNNEL,Rainier-EB,I-90,1277287.1694489,218759.303514436
152958,21931,492230,I5 NB BETWEEN 130TH ST OFF RP AND 145TH ST OFF RP,NE 137th - single,I-5,1273573.8410816,269141.30330798
152959,22104,492183,I5 SB BETWEEN I5 EXPRESS AND I5 NB 1ST AV NE OFF RP,NE 110th St-SB,I-5,1272481.20506151,263580.518005684
152960,22136,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Thistle,I-5,1279816.77273943,195982.142293915
152961,22167,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Norfolk,I-5,1281682.79385974,190109.558484644
152962,21927,491541,I5 EXPRESS BETWEEN 5TH AV EXPRESS RP AND I5 EXPR PIKE AND 9TH RP,University St-NB,I-5,1271004.57579692,225666.417734951
152963,22289,492155,I5 NB BETWEEN 85TH ST ON RP AND I5 NB 1ST AV NE OFF RP,NE 88th,I-5,1272094.00234182,256327.820076719
152964,21877,12879,SR509 NB BETWEEN KENYON ON RP AND 1ST AV S ON RP,S Holden - single,SR-509,1269694.98113921,196468.712432981
152965,22332,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Thistle,I-5,1279816.77273943,195982.142293915
152966,22263,492148,I5 SB BETWEEN 80TH ST OFF RP AND CORLISS AV I5 SB ON RP,NE 97th - single,I-5,1271918.70946734,259979.581145898
152967,22082,491952,I5 EXPRESS BETWEEN RAVENNA BV I5 EXPRESS RP AND I5 EXPRESS LAKE CITY RP,NE 50th St-NB - single,I-5,1273641.21381432,247176.951321408
152968,22160,490102,CHERRY ST ON RP BETWEEN CHERRY ST AND I5 NB,Marion - single,I-5,1271721.08067952,224448.533441722
152969,22324,491651,MERCER ST I5 EXPRESS RP BETWEEN MERCER ST I5 NB ON RP AND I5 EXPRESS,Mercer - single,I-5,1271881.88949504,232727.142622665
152970,22150,12879,SR509 NB BETWEEN KENYON ON RP AND 1ST AV S ON RP,S Holden - single,SR-509,1269694.98113921,196468.712432981
152971,22480,491789,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP,Boylston Ave-SB - single,I-5,1273175.99328807,235876.102860168
152972,22511,491164,I5 NB BETWEEN W SEATTLE BR - I5 NB RP AND I5 NB COLLECTOR S,S Holgate,I-5,1273544.14379849,216642.261734739
152973,22428,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Norfolk,I-5,1281682.79385974,190109.558484644
152974,21802,491369,I5 SB COLLECTOR BETWEEN I5 SB ON RP AND AIRPORT WY S OFF RP,CD-SB - single,I-5,1273366.4981564,220221.059941307
152975,21803,493044,I90 EXPRESS BETWEEN I90 EXPRESS TUNNEL AND MID CHANNEL,35th Ave S - single,I-90,1281974.11545557,218633.75832589
152976,22503,489829,OLIVE WY OFF RP BETWEEN I5 NB AND OLIVE WAY,Olive Way-NB - single,I-5,1271546.03468776,228136.758512765
152977,22468,493045,I90 EB BETWEEN I90 EB TUNNEL E AND MID CHANNEL,West Highrise EB,I-90,1283946.4970915,218523.658890575
152978,22460,493088,MONTLAKE BV EB ON RP BETWEEN MONTLAKE BLVD E AND SR520 EB,Montlake Blvd-EB - single,SR-520,1278403.90442015,238475.369315162
152979,22558,490891,I5 SB BETWEEN I5 SB EXIT 156 OFF RP AND I5 SB EXIT 158 ON RP,S 129th,I-5,1286466.48918077,181519.417364433
152980,22151,491376,I5 SB COLLECTOR BETWEEN I90 WB ON RP AND I5 SB - I90 EB ON RP,4th/Dearborn-NB,I-5,1273375.66439463,220695.166194543
152981,21727,492230,I5 NB BETWEEN 130TH ST OFF RP AND 145TH ST OFF RP,NE 130th St-SB - single,I-5,1273533.56967266,267062.522196516
152982,22241,490887,I5 NB BETWEEN I5 NB EXIT 156 ON RP AND M L KING JR WY S OFF RP,MLK Jr Way-SB - single,I-5,1285282.91625266,184350.655140266
152983,21929,490949,CORSON AV S OFF RP BETWEEN I5 CORSON AV S OFF RP AND I5 NB,S Pearl,I-5,1273815.97683422,205144.775707453
152984,22162,492148,I5 SB BETWEEN 80TH ST OFF RP AND CORLISS AV I5 SB ON RP,NE 97th - single,I-5,1271918.70946734,259979.581145898
152985,22585,492230,I5 NB BETWEEN 130TH ST OFF RP AND 145TH ST OFF RP,NE 137th - single,I-5,1273573.8410816,269141.30330798
152986,21830,493044,I90 EXPRESS BETWEEN I90 EXPRESS TUNNEL AND MID CHANNEL,35th Ave S - single,I-90,1281974.11545557,218633.75832589
152987,21944,491789,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP,E Roanoke - single,I-5,1273212.70745349,237772.527873084
152988,22072,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Boeing Field,I-5,1280735.14237578,192279.958507344
152989,21740,491019,I5 SB BETWEEN CORSON AV S OFF RP AND COLUMBIAN WY - I5 SB RP,S Oregon,I-5,1272875.67441693,207607.323685899
152990,22112,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Boeing Field,I-5,1280735.14237578,192279.958507344
152991,22178,491098,I5 NB BETWEEN I5 NB - W SEATTLE BR RP AND W SEATTLE BR - I5 NB RP,S Spokane,I-5,1273443.38325526,211427.09581995
152992,22652,492063,I5 SB BETWEEN 85TH ST ON RP AND 80TH ST OFF RP,NE 85th St-SB - single,I-5,1272069.90010984,255087.849213496
152993,22213,493121,SR520 EB BETWEEN MONTLAKE BV EB ON RP AND LK WASH BV ON RP,Lk Wash Blvd-EB - single,SR-520,1280873.35527192,238683.778101102
152994,22431,491019,I5 SB BETWEEN CORSON AV S OFF RP AND COLUMBIAN WY - I5 SB RP,S Oregon,I-5,1272875.67441693,207607.323685899
152995,22264,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Holden,I-5,1279110.39619942,197819.709156826
152996,22165,492980,I90 EB BETWEEN RAINIER SB I90 EB ON RP AND RAINIER NB I90 EB ON RP,23rd Ave S - single,I-90,1277780.60350141,218749.872759014
152997,22262,491592,I5 NB BETWEEN OLIVE WY ON RP AND MERCER ST I5 NB ON RP,Mercer St-SB - single,I-5,1271841.51022869,230648.372584015
152998,22010,491789,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP,E Roanoke,I-5,1273212.70745349,237772.527873084
152999,22063,491789,I5 EXPRESS BETWEEN MERCER ST I5 EXPRESS RP AND I5 EXPRESS NE 42 RP,Boylston Ave-SB - single,I-5,1273175.99328807,235876.102860168
153000,21746,490908,I5 NB BETWEEN S BOEING ACCESS RD OFF RP AND SWIFT AV OFF RP,N Boeing Field,I-5,1277679.9729612,200546.705425262
153001,22564,490908,I5 NB BETWEEN S BOEING ACCESS RD OFF RP AND SWIFT AV OFF RP,N Boeing Field,I-5,1277679.9729612,200546.705425262
153002,22448,490910,I5 SB BETWEEN S BOEING ACCESS RD OFF RP AND BAILEY ST ON RP,S Holden,I-5,1279110.39619942,197819.709156826
153003,21983,491479,I5 SB BETWEEN I5 SB COLLECTOR S AND I5 EXPRESS I5 SB RP,Yesler,I-5,1272676.56679349,222824.72968474
153004,22068,492939,I5 SB COLLECTOR BETWEEN NORTHGATE I5 SB ON RP AND I5 SB NORTHGATE OFF RP,NE 107th St-SB - single,I-5,1271974.03949119,262824.221535996
153005,22559,491651,MERCER ST I5 EXPRESS RP BETWEEN MERCER ST I5 NB ON RP AND I5 EXPRESS,Mercer - single,I-5,1271881.88949504,232727.142622665
153006,21980,490934,I5 SB BETWEEN BAILEY ST ON RP AND ALBRO PL OFF RP,Michigan St-SB - single,I-5,1276234.59650484,202471.473557353
153007,22540,491959,I5 NB BETWEEN NE LAKE CITY WY OFF RP AND NE 70TH ST ON RP,NE 70th St-NB,I-5,1273986.97960901,252314.425462455
153008,22642,,,NE Park Dr-SB - single,I-405,1303366.77485192,186319.996674016
