OBJECTID,STATIONID,SEGKEY,SEG_UNITDESC,DETECTORNAME,ROADWAY,x,y
153087,22164,,,Lind Ave SW - single,I-405,1296215.3988988,173642.72790131
153088,22166,,,NE 14th,I-405,1306121.35390641,230414.778891101
153089,22169,,,Richards Rd-WB,I-90,1309792.11018036,214590.219825059
153090,22176,,,NE 145th - single,I-405,1306808.22671245,269402.216089949
153091,22181,,,E Mercer Way-WB - single,I-90,1301140.16718245,213903.726775482
153092,22182,,,SR167 NW Quad - single,I-405,1297453.2306587,173693.345828295
153093,22183,,,Interurban-NB - single,I-5,1284945.80775693,179541.213479638
153094,22187,,,SR 405 - single,SR-520,1306669.0201339,233506.123594224
153095,22188,,,S. 133rd,SR-599,1284456.81349213,179842.218865156
153096,22189,,,N Metro Base-SB,I-5,1272224.443764,275698.057746932
153097,22191,,,98th Ave NE,SR-520,1300569.93948431,237189.673067659
153098,22193,,,E Mercer Way-EB,I-90,1301878.55727391,213781.102758914
153099,22202,,,NE 175th St-NB - single,I-5,1272289.70487036,279053.283155888
153100,22204,,,SR599-SB - single,I-5,1284436.34314266,178748.115082249
153101,22214,,,Pacific Hwy S,SR-599,1279605.76676381,184858.81275256
153102,22223,,,Totem Lake-NB,I-405,1307923.93191214,262852.261998281
153103,22225,,,W Valley Hwy-NB - single,I-405,1290996.59987119,172351.488275781
153104,22248,,,SR 522 - SB - single,I-405,1307415.1899014,275921.874146417
153105,22250,,,SE 70th,I-405,1304115.33142567,200680.731978074
153106,22254,,,NE 60th,I-405,1306858.9303512,244301.51374881
153107,22257,,,NE 72nd St-NB - single,I-405,1306914.74880911,247474.485175163
153108,22260,,,East Highrise WB - single,I-90,1287645.27250235,218345.127833605
153109,22279,,,Andover Park W - single,I-405,1289005.24763672,171694.97917214
153110,22283,,,124th Ave NE-WB,SR-520,1308884.56442328,233284.866654843
153111,22284,,,Shorewood - single,I-90,1298692.71349797,215078.562024221
153112,22286,,,Isl Crest Way-WB - single,I-90,1295278.44867297,217365.742079124
153113,22290,,,Shorewood - single,I-90,1298692.71349797,215078.562024221
153114,22297,,,Interurban-SB - single,I-405,1290498.60751088,172178.223776519
153115,22304,,,E Mercer Way-EB - single,I-90,1301878.55727391,213781.102758914
153116,22307,,,SR 520,I-405,1306156.05076942,232384.206136614
153117,22316,,,NE 85th St-NB - single,I-405,1307723.55911735,251436.83535412
153118,22328,,,Richards Rd-WB,I-90,1309792.11018036,214590.219825059
153119,22329,,,Coal Creek - single,I-405,1307733.62799484,209810.532862142
153120,22336,,,SE 8th St-NB - single,I-405,1307227.42945015,223171.860306099
153121,22340,,,SR167 SW Quad - single,I-405,1297453.2306587,173693.345828295
153122,22344,,,SE 52nd St-SB - single,I-405,1305705.63295306,206818.140142873
153123,22345,,,SE 59th,I-405,1304938.61430995,205335.899422973
153124,22346,,,SR 169-SB,I-405,1303243.32611588,179354.078437239
153125,22350,,,NE 8th St-NB - single,I-405,1306086.65663327,228445.352055684
153126,22366,,,NE 140th,I-405,1306769.03182693,267177.483416721
153127,22368,,,Coal Creek - single,I-405,1307733.62799484,209810.532862142
153128,22369,,,NE 44th St-SB - single,I-405,1303566.48983963,197589.463554323
153129,22370,,,SR 405 - single,SR-520,1306669.0201339,233506.123594224
153130,22381,,,Talbot,I-405,1299932.78483671,174013.647845164
153131,22393,,,SE 30th - single,I-405,1308352.3029386,216950.194189742
153132,22397,,,76th Ave SE-WB - single,I-90,1293814.68273568,218304.469696417
153133,22399,,,NE 85th St-SB - single,I-405,1307454.20352088,250128.204851314
153134,22401,,,Metro Bus Base,SR-599,1281821.24912745,184342.635963395
153135,22403,,,Isl Crest Way-EB - single,I-90,1296500.89578515,216723.359013498
153136,22418,,,SR 522 - NB - single,I-405,1308216.48956193,279519.548627555
153137,22419,573056,SR520 EB BETWEEN MID CHANNEL AND 84TH AVE NE OFF RP,84th Ave NE-WB,SR-520,1296093.63487068,235081.448937669
153138,22421,,,S 144th,I-5,1285134.47494848,176400.162511095
153139,22423,573056,SR520 EB BETWEEN MID CHANNEL AND 84TH AVE NE OFF RP,76th Ave NE - single,SR-520,1293883.75411984,235595.962754428
153140,22426,,,S. 133rd,SR-599,1284456.81349213,179842.218865156
153141,22440,,,Jackson Ave SW,I-405,1294728.93041505,173523.739868283
153142,22444,,,NE 170th - single,I-405,1307681.67968994,277084.624035478
