AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID
17,18,Downtown Bellevue to Lynnwood,16.46,"{'Description': 'I-405 @ I-5 in Lynnwood', 'Direction': 'N', 'Latitude': 47.8237, 'Longitude': -122.2517, 'MilePost': 30.06, 'RoadName': '405'}",Bellevue-Lynnwood,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,35
15,15,Downtown Bellevue to Lynnwood using HOV lanes,15.93,"{'Description': 'I-5 @ SR 526 in Lynnwood', 'Direction': 'N', 'Latitude': 47.920431, 'Longitude': -122.206552, 'MilePost': 29.53, 'RoadName': '405'}",Bellevue-Lynnwood HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,36
15,17,Lynnwood to Downtown Bellevue using HOV lanes,16.73,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Lynnwood-Bellevue HOV,"{'Description': 'I-5 @ SR 526 in Lynnwood', 'Direction': 'S', 'Latitude': 47.831743, 'Longitude': -122.262488, 'MilePost': 30.06, 'RoadName': '405'}",/Date(1746912600000-0700)/,37
16,17,Lynnwood to Downtown Bellevue,16.73,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Lynnwood-Bellevue,"{'Description': 'I-405 @ I-5 in Lynnwood', 'Direction': 'S', 'Latitude': 47.831743, 'Longitude': -122.262488, 'MilePost': 30.06, 'RoadName': '405'}",/Date(1746912600000-0700)/,38
0,0,Everett to Downtown Seattle using express lanes,26.72,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Everett-Seattle EL,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'S', 'Latitude': 47.964146, 'Longitude': -122.199237, 'MilePost': 192.55, 'RoadName': '005'}",/Date(1746912600000-0700)/,39
0,0,Everett to Downtown Seattle using express lanes and HOV lanes,26.72,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Everett-Seattle EL HOV,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'S', 'Latitude': 47.964146, 'Longitude': -122.199237, 'MilePost': 192.55, 'RoadName': '005'}",/Date(1746912600000-0700)/,40
9,9,Downtown Bellevue to SR 522 in Bothell using HOV lanes,9.41,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'N', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",Bellevue-SR 522 HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,56
9,9,SR 522 in Bothell to Downtown Bellevue using HOV lanes,9.68,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",SR 522-Bellevue HOV,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'S', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1746912600000-0700)/,57
9,9,SR 522 in Bothell to Downtown Bellevue,9.68,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",SR 522-Bellevue,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'S', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1746912600000-0700)/,58
22,22,Woodinville to Downtown Seattle,20.76,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 90,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'S', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",/Date(1746912600000-0700)/,59
